"ユーザID","学校種別(使用）","文理（使用）","アルバイト経験有無","アルバイト経験先","アルバイト店番","アルバイト店名","アルバイト社員番号","アルバイト開始年月","アルバイト期間","[SPI3U]言語(得点)","[SPI3U]言語(段階)","[SPI3U]非言語(得点)","[SPI3U]非言語(段階)","[SPI3U]基礎能力総合(得点)","[SPI3U]基礎能力総合(段階)","[SPI3U]Ａ対人接触","[SPI3U]Ｂ対人折衝","[SPI3U]Ｃ集団統率","[SPI3U]Ｄ協調協力","[SPI3U]Ｅサポート","[SPI3U]Ｆフットワーク","[SPI3U]Ｇスピーディー","[SPI3U]Ｈ予定外対応","[SPI3U]Ｉ自律遂行","[SPI3U]Ｊプレッシャー","[SPI3U]Ｋ着実持続","[SPI3U]Ｌ前例ない課題","[SPI3U]Ｍ企画アイデア","[SPI3U]Ｎ問題分析","[SPI3U]ダミー(1)","[SPI3U]ダミー(2)","[SPI3U]Ｗ創造重視","[SPI3U]Ｘ結果重視","[SPI3U]Ｙ調和重視","[SPI3U]Ｚ秩序重視","[SPI3U]応答態度Ａ","[SPI3U]ダミー","[SPI3Uフル]マネジメントスタイル座標","[SPI3U]内向-外向2","[SPI3U]調整-統率","[SPI3U]繊細-強靭","[SPI3U]維持‐変革","[SPI3U]活動系","[SPI3U]新卒R社員性格基準"
17000107,"大学","文系","勤務経験なし",,,,,,,64,6,50,4,58,5,3,3,4,2,2,3,3,1,5,3,5,4,5,4,6,4,3,4,2,5,1,1,"Z2",3,"4,5",3,"2,5",3,3
17000108,"大学","文系","勤務経験なし",,,,,,,61,5,47,4,"54,5",5,3,3,3,2,2,3,4,3,4,4,2,3,3,3,3,1,3,1,2,2,1,1,"W4",3,"3,5","3,5",3,"3,5","2,8"
17000112,"大学","文系","過去に勤務していました","B社",,"店名_770",,41365,"6カ月以上",43,3,57,5,50,4,5,5,5,3,2,5,5,5,5,5,2,5,5,4,6,6,5,5,2,2,1,1,"X1",5,5,5,5,5,"3,8"
17000117,"大学","文系","勤務経験なし",,,,,,,55,5,56,5,56,5,5,5,5,2,2,5,5,5,5,5,3,5,4,4,5,5,5,5,1,3,1,1,"X1",5,5,5,5,5,"3,5"
17000118,"大学","文系","現在、勤務しています","B社",1450,"店名_771",699186,41640,"6カ月以上",57,5,47,4,"52,5",4,5,5,5,2,3,5,5,5,5,5,3,5,5,4,6,6,5,5,2,2,1,1,"W2",5,5,5,5,5,"3,8"
17000121,"大学","文系","現在、勤務しています","A社",640,"店名_772",803780,42095,"6カ月以上",54,5,64,6,60,5,3,4,5,2,1,4,4,5,5,5,4,5,5,4,6,4,4,4,2,3,1,1,"X1",3,5,"4,5",5,4,"2,8"
17000130,"大学","文系","現在、勤務しています","B社",1311,"店名_732",722293,41730,"6カ月以上",28,1,45,3,35,2,4,3,4,3,4,4,3,3,4,3,3,3,1,1,5,5,3,4,3,4,1,1,"Z1",4,4,3,3,"3,5","3,8"
17000136,"大学","文系","現在、勤務しています","B社",1362,"店名_773",750365,41883,"6カ月以上",39,3,50,4,44,3,4,5,5,2,2,5,5,5,3,5,3,4,3,2,5,2,5,3,2,2,1,1,"W2",4,4,5,"4,5",5,"2,8"
17000141,"大学","文系","勤務経験なし",,,,,,,60,5,60,5,"61,5",5,4,4,5,3,3,3,3,5,5,5,4,5,5,5,6,6,3,3,3,3,1,1,"W4",4,5,"4,5",5,3,"3,8"
17000147,"大学","文系","勤務経験なし",,,,,,,42,3,57,5,"49,5",4,5,5,5,2,2,4,4,5,4,5,1,5,3,3,5,3,5,4,2,1,1,1,"W2",5,"4,5",5,5,4,"3,3"
